"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"Feb 23, 2022","Rosalinda Stanton","4 out of 5 stars review","Taking one star off as the connection between the visor and the helmet could be studier, like the older one I had from a more established brand. but the magnetic sun shade is really cool. doubles as a wind goggles. I would be first in line to buy a clear one as goggles for cloudy days. wish the company would have it as an option. they could even offer different colors.","love the integrated  sun shade and the light","Review from","victgoal.com"
"Sep 9, 2021","Cleveland Orishaba","4 out of 5 stars review","Great helmet , fits nice, light on the back is good size and bright, shame delivery took so long due to wrong address being put on packing & small scratches on the visor right in eyes view, no point in sending back as I doubt another would be delivered correctly","Nice helmet","Review from","victgoal.com"
"Apr 7, 2021","Alex Details","5 out of 5 stars review","Well made helmet, attractive, light weight, comfortable, bought this one because of the sun shield. It works great. I feel it puts me in my own world especially with head phones. Love it. Helps to keep the bugs off your face and probably if I get caught in the rain some day it will come in handy, comes right off if I don't want it on. Incognito profile.","I love the sun shield part","Review from","victgoal.com"
"Nov 14, 2020","Stacy Murray","5 out of 5 stars review","A lot of additional attachments for a helmet at this price I think it provides great value for money. This helmet on its own is shaped as standard with many airvents and a wide fit. The adjustments will ensure that it will fit most head shapes but I think it is a little more suited to wide heads.The LED lights at the back are a great idea and help you stay seen even when away from your bike. The best thing is that the lights on this helmet are rechargable unlike other ones which take batteries. This makes life much easier and using the lights less of a hassle. There is also a visor which attaches magnetically onto the helmet. The attachments are very strong and I don't see it falling off accidently. This can be very useful if you wear glasses and it starts to rain but also if you cycle in very windy conditions and helps you breathe better. If there is a lot of sun this can keep your face protected which tends to be out all throughout the ride.A great helmet suited for a variety of conditions and provides some nice attachments for individual preference. The rechargeable lights are a great addition too!","Clever design which does not compromise the basic designs.","Review from","victgoal.com"
"Oct 25, 2020","Titilope Esther","5 out of 5 stars review","This bicycle helmet is great for the time trialist, As it has a very big magnetic visor shield covering my eyes. It looks like it is made of good quality materials, And will last a really long time.The helmet is a bit chunky, So fans of more slimline helmets may not like it as much, But it does feel very safe, And the backlight adds extra precautions when riding during the night.The helmet's retention system is quite nice and snug, And would suit both beginners or pro's alike.","Gives good crash protection","Review from","victgoal.com"
"Sep 1, 2021","Joel Griffiths","5 out of 5 stars review","This was a gift for my brother who needed a new helmet and does a lot of biking on city streets. This is sturdy but lightweight and has great safety lighting. He also really likes the detachable visor and sun shield. It looks cool too! We likened it to something we might've seen in Robocop. :)","Great bike helmet with safety features","Review from","victgoal.com"
"Jul 19, 2020","Steve Collins","5 out of 5 stars review","The helmet over all is great. It did take 5 weeks for delivery. The finish is the metal blue with white trim and is flawless. You can see in the attached photo that my glasses fit behind face shield nicely. Also I've included a picture of the usb cable for light charging which they do send with helmet.","Quality looking helmet.","Review from","victgoal.com"
"Dec 1, 2021","Kabelo Govender","5 out of 5 stars review","I'm very happy with this helmet. For the price of the helmet I was very surprised with how comfortable it is and how many cool features that it has. The best part of it is the lens that connects to the front via magnets. I even ordered a clear version of the lens for night riding. The rear of the head coverage is good and I feel that it'll protect when needed. I would buy this helmet again if I had to.","Unexpected greatness","Review from","victgoal.com"
"Sep 26, 2021","Gussie Hayes","5 out of 5 stars review","When i received the package i thought it was a bit light. The package and contents was noticably lighter than my current helmet. The fit is comfortable, better than my previous helmet. The chin strap is ok. Like others said it kind of buckles more to one side. Doesn't bother me at all while wearing it.The visor just snaps on with these small plastic pieces. The same way most visors i have seen attach. I don't think it would last long if you removed and put back on often.There dark shade had a magnetic attachment. No issue putting on or removing. Easy to remove while riding and can flip it upside down and reattach to essentially remove the shade from your vision. Only issue i found is that the shade sits very close to your face. There is little room for wearing eye glasses underneath. I had one smaller pair of glasses that fit if i move the helmet to a certain position. The shades need to sit very close to your nose when wearing eye glasses. I am a little worried the shade my scratch my glasses. Did find that it didn't move while riding on a 20 mile trip. This is not the best helmet for those wearing eyeglasses. It can work but it's a very close fit. The shade is much larger than it needs to be. It would be better if it was a little shorter and also a little further out from the helmet.One other note, the shade is not dark enough for a bright sunny day. I find i need to wear sunglasses in addition to the shade. The shade is better than nothing but not enough. But the shade does block side glare and top glare.The visor and shade can be used at the same time but then there is no place to store the shade when it's is not needed. My previous helmet has a visor and i noticed this helmet with only the shade on is noticably more streamline. The visor caused some drag, especially when looking to the side.","VICTGOAL Bike Helmet with USB light","Review from","victgoal.com"
"Oct 22, 2020","Naval Oommen","4 out of 5 stars review","Strange to buy a helmet with a dark visor & light on the back ?I bought this helmet & a clear visor for my daily commute to work thinking about keeping some of the rain & maybe snow when it comes out of my face.So far I've found I'm getting more wind blowing up my visor & into my eyes, maybe it's something I can live with or alter in some way?The magnetic visor system is good & holds it well.However the helmet is stylish & fits well & the rear led light is really good with 3 settings.Overall great for the price.","Great helmet for the price","Review from","victgoal.com"
